tweet	subtask_b
 anyone else think she is a lying opportunist yeahmetoo	TIN
 i love women like you we believe all women excluding one woman soonyi is  years old she is an adult but such a reaction is very significant it means hypocrisy	TIN
 its a disgrace and are in danger of imploding if they dont remove 	TIN
 but i thought california had gun control	TIN
 mon  bye bitches  suffisait	TIN
 you mean like all the liberals screaming at a sc nomination hearing that kind of clown show so tell me since when do accusers get to make demands this isnt a university misandry board of injustice	TIN
 and not all idiots grandstands like he did	TIN
 conservatives the trailer trash party of canada	TIN
 says the bitch ass boy hiding behind a keyboard it dont hurt to ask for help sometimes cant do everything alone you fucking clown if he can help then something is better than nothing thats why i asked even if he cant it dont hurt to ask fuck off my twitter weak ass nigga	TIN
 bad gun control seems like missed his brains bummer	TIN
 and most hillary supporters are racist liberals	TIN
meet walter walter is most likely magawalter believes the lies he told daily about an imaginary walkaway being talked about in no community of color because it is fakenewswalter does not understand minorities penchant for remembering what u did to themwalter eats toenails url	TIN
 we do thats why donald trump is in office all the democrats and a good portion of republicans are the shadow government you are complicit in this you are a globalist  international communist	TIN
you can draw a straight line btwn ppl who think is truthful msm lies kavanaugh is treated unfairly codywilson was set up zimmerman was right a wall is good refugees are terrorists blacklivesmatter is racist reverse racism is real kap is disrespectful maga	TIN
 dont bury the lead fam it has nothing to do with gun control laws and everything to do with the demographics of those cities	TIN
endpc teaching guide for portland public schools celebrates islam communists terrorists abortion promotes guncontrol amp transgendersgt url endculturalmarxism	TIN
 this nigga prob made her infertile god only knows all the germs he brought back	TIN
 thats why they lobbied the government to ban reaserch funded bye the cdc that could be used to argue for gun control guns in the home dont make you safer quite the opposite	TIN
 i cant believe luigi fucking died 	TIN
 its either they lookin for shit for somebody else or they creeps 	TIN
 fuck yes ride it baby	TIN
 liberals its trumps fault 	TIN
 good god woman shut up if you liberals really believed this would have spoke out against this the day she received the letter	TIN
 he is fake lol	TIN
 dude what the fuck is wrong with you i sent you a direct tweet to show you how you retweet your own shit then i let it go now you want to double down just go back to whoviille	TIN
 actually he is a soy boy	TIN
bert and ernie are puppets  dogs are not children  there are only two genders  and there will be two terms maga 	TIN
 the owner of my culo	TIN
 she should start kneeling before matches and talk about how oppressed she is its getting deep in america with all the bs the liberal nuts are throwing up	TIN
 i think the pope and some others should be prosecuted for covering up and protecting child rapists	TIN
 trump does not understand his job trump will go down as the most successful and obama and his entire admin as most corrupt	TIN
greatestthingsaboutthes nothing the treacherous lefty media people made sure benny hill was taken off tv and even more treacherous conservatives conspired to remove maggie thatcher as our leader then almost fatally signed us even deeper into the extremely hostile commie eu	TIN
 and yet he is allowed to congress is supposed to be a check on this clown if we get control of congress you folks have to write some laws to prevent this happening again	TIN
 i wonder which one is the democrat and which is the republican the dude is now totally for gun control 	TIN
 do you know why this shameless muslim socialist is still so arrogant and believes in himself thst he thinks he is such a good politician ill tell you why so many stupid american voters per gruber that are so gullible	TIN
 jesus christ liberals start young with their brainwashing	TIN
 its clear you wouldnt listen anyways since you are more interested in arguing over the non existent racism of that tweet rather than calling out the ignorant white girl on display	TIN
 and what do you think ron desantis is going to do for you hes probably in the back pocket of the nra good luck getting anything done as far as gun control because that is what wer seriously need as a country we need tougher background checks at least	TIN
nazisarebad their programs called for the nationalization of education health care transportation and other major industries they instituted and vigorously enforced a strict gun control regimen they encouraged pornography illegitimacy and abortion 	TIN
 good lord this woman is a dipshit 	TIN
 the bigger problem is liberal gun control nuts that want open borders to try and cleanse a society from established cultures then create a ruling class or a communist structure that has been proven to fail england is now a muslim breeding ground shameful	TIN
 creepy joe with roaming hands for little girls is one of the most noncreditable demonrats i have ever seen he amp jill wont talk about all the disgusting pervert actions of his just their hate and disapproval for conservatives and trump like hillary just shut up and go away	TIN
 the liberals will use whatever label they can to discredit people who disagree andor are a threat to their agenda	TIN
 bitch im in the hood serving junkies in a maybach  	TIN
 california how gun control laws should of prevented this	TIN
 is inciting violence via twitter to accounts supporting potus he has made lists to have us targeted by antifaetc	TIN
 serena was outplayed amp acted like a spoiled brat she is not above the rules	TIN
 liberals cry and complain that all they do url	TIN
 how is that gun control working in chicago  only the military has access to assault weapons is your ignorance from old age or are you still working for the chinese url	TIN
 do you likelove louis farrakhan because he is a racist or an anti semite which one	TIN
 you might as well go to your walmart cashier to get info on nuclear fusion as go to nbc for gun info with the crap the media feeds these empty brains its no wonder we have gun control cultists and universal background checks gunsense guncontrolnow guncontrol	TIN
 and what does this have to do with a lying attorney and a  year old claim i know its hard for you liberals to look at two things at once	TIN
 i really thought so he is the god of rap how do you come back from that	TIN
 you say highvalue men like thats a real thing that exists amp not a madeup lie you told yourself to distract from the fact your mother never loved you amp your penis is microscopic	TIN
 whats doing detriment to this state and country is republicans who refuse to govern as the conservatives they campaign to be mcdaniel may have some flaws who doesnt but hes the kind of fighter we need some of us are sick of the losers the gop keeps giving us	TIN
 can this guy get any lower one of the dumbest people in our country how did anyone in arizona voted for this idiot	TIN
 oh fuck i forgot about poopy in my diaper pants you know me before i know myself	TIN
 if that was my missus horse hed fuck right off and have us chasing him like bell ends	TIN
 ohhhhhh i cried big crocodile tears the first time my daddy called me a bitch took it on the chin like a champ but ran to my room to cry just like a bitch	TIN
 oh fuck this is me i am a tmi queen on some things because it controls the conversation subtly but god help you if you comment in my habits or decisions i swear to god	TIN
 why didnt zac goldsmith of the faux conservative party use this why didnt faux conservative party use khans defence of  organiser why are the conservatives so fcking useless if you ask me its deliberate as they share labours agenda or are they just that useless	TIN
 yeah thats kinda the fashy thing right now the proud boys scumbags wear tshirts saying pinochet did nothing wrong and antifa are the ones who are violent please its been an actual fascist every time this has been brought up in my experience like dude here who stopped	TIN
 let me guess they are a victim of circumstances but heaven forbid if they got shot for robbing the place all you moron liberals would be screaming gun control how about kid control or upbringing control of self control	TIN
